time, Quad.Est.E.Pos, Quad.Est.S.Z
0.324999,0.007119,0.300000
0.329999,0.007233,0.300000
0.334999,0.007396,0.300000
0.339999,0.007501,0.300000
0.344999,0.007650,0.300000
0.349999,0.007746,0.300000
0.354999,0.007882,0.300000
0.359999,0.007967,0.300000
0.364999,0.008087,0.300000
0.369999,0.008163,0.300000
0.374999,0.008268,0.300000
0.379999,0.008335,0.300000
0.384999,0.008434,0.300000
0.389999,0.008500,0.300000
0.394998,0.008599,0.300000
0.399998,0.008663,0.300000
0.404998,0.008754,0.300000
0.409998,0.008811,0.300000
0.414998,0.008892,0.300000
0.419998,0.008945,0.300000
0.424998,0.009026,0.300000
0.429998,0.009083,0.300000
0.434998,0.009171,0.300000
0.439998,0.009233,0.300000
0.444998,0.009329,0.300000
0.449998,0.009396,0.300000
0.454998,0.009503,0.300000
0.459998,0.009578,0.300000
0.464998,0.009694,0.300000
0.469997,0.009772,0.300000
0.474997,0.009888,0.300000
0.479997,0.009965,0.300000
0.484997,0.010077,0.300000
0.489997,0.010150,0.300000
0.494997,0.010258,0.300000
0.499997,0.010329,0.300000
0.504997,0.010432,0.300000
0.509997,0.010497,0.300000
0.514997,0.010589,0.300000
0.519997,0.010648,0.300000
0.524997,0.010735,0.300000
0.529997,0.010789,0.300000
0.534997,0.010864,0.300000
0.539997,0.010909,0.300000
0.544997,0.010969,0.300000
0.549996,0.011006,0.300000
0.554996,0.011056,0.300000
0.559996,0.011089,0.300000
0.564996,0.011137,0.300000
0.569996,0.011168,0.300000
0.574996,0.011210,0.300000
0.579996,0.011236,0.300000
0.584996,0.011274,0.300000
0.589996,0.011301,0.300000
0.594996,0.011344,0.300000
0.599996,0.011375,0.300000
0.604996,0.011425,0.300000
0.609996,0.011459,0.300000
0.614996,0.011511,0.300000
0.619996,0.011548,0.300000
0.624996,0.011604,0.300000
0.629995,0.011642,0.300000
0.634995,0.011697,0.300000
0.639995,0.011732,0.300000
0.644995,0.011781,0.300000
0.649995,0.011811,0.300000
0.654995,0.011854,0.300000
0.659995,0.011881,0.300000
0.664995,0.011916,0.300000
0.669995,0.011934,0.300000
0.674995,0.011957,0.300000
0.679995,0.011970,0.300000
0.684995,0.011986,0.300000
0.689995,0.011995,0.300000
0.694995,0.012007,0.300000
0.699995,0.012013,0.300000
0.704994,0.012019,0.300000
0.709994,0.012023,0.300000
0.714994,0.012029,0.300000
0.719994,0.012032,0.300000
0.724994,0.012038,0.300000
0.729994,0.012041,0.300000
0.734994,0.012045,0.300000
0.739994,0.012048,0.300000
0.744994,0.012051,0.300000
0.749994,0.012052,0.300000
0.754994,0.012054,0.300000
0.759994,0.012055,0.300000
0.764994,0.012059,0.300000
0.769994,0.012062,0.300000
0.774994,0.012065,0.300000
0.779994,0.012065,0.300000
0.784993,0.012062,0.300000
0.789993,0.012060,0.300000
0.794993,0.012057,0.300000
0.799993,0.012051,0.300000
0.804993,0.012039,0.300000
0.809993,0.012028,0.300000
0.814993,0.012008,0.300000
0.819993,0.011994,0.300000
0.824993,0.011971,0.300000
0.829993,0.011953,0.300000
0.834993,0.011923,0.300000
0.839993,0.011901,0.300000
0.844993,0.011863,0.300000
0.849993,0.011832,0.300000
0.854993,0.011781,0.300000
0.859993,0.011743,0.300000
0.864992,0.011678,0.300000
0.869992,0.011631,0.300000
0.874992,0.011558,0.300000
0.879992,0.011505,0.300000
0.884992,0.011421,0.300000
0.889992,0.011365,0.300000
0.894992,0.011284,0.300000
0.899992,0.011233,0.300000
0.904992,0.011159,0.300000
0.909992,0.011111,0.300000
0.914992,0.011041,0.300000
0.919992,0.010995,0.300000
0.924992,0.010930,0.300000
0.929992,0.010886,0.300000
0.934992,0.010822,0.300000
0.939991,0.010782,0.300000
0.944991,0.010725,0.300000
0.949991,0.010689,0.300000
0.954991,0.010637,0.300000
0.959991,0.010604,0.300000
0.964991,0.010556,0.300000
0.969991,0.010528,0.300000
0.974991,0.010489,0.300000
0.979991,0.010463,0.300000
0.984991,0.010425,0.300000
0.989991,0.010400,0.300000
0.994991,0.010366,0.300000
0.999991,0.010346,0.300000
1.004991,0.010316,0.300000
1.009991,0.010297,0.300000
1.014991,0.010266,0.300000
1.019992,0.010244,0.300000
1.024992,0.010209,0.300000
1.029992,0.010182,0.300000
1.034992,0.010136,0.300000
1.039993,0.010102,0.300000
1.044993,0.010050,0.300000
1.049993,0.010014,0.300000
1.054993,0.009955,0.300000
1.059994,0.009913,0.300000
1.064994,0.009848,0.300000
1.069994,0.009803,0.300000
1.074994,0.009733,0.300000
1.079994,0.009688,0.300000
1.084995,0.009620,0.300000
1.089995,0.009572,0.300000
1.094995,0.009499,0.300000
1.099995,0.009451,0.300000
1.104996,0.009376,0.300000
1.109996,0.009326,0.300000
1.114996,0.009253,0.300000
1.119996,0.009208,0.300000
1.124997,0.009147,0.300000
1.129997,0.009109,0.300000
1.134997,0.009056,0.300000
1.139997,0.009023,0.300000
1.144997,0.008973,0.300000
1.149998,0.008939,0.300000
1.154998,0.008889,0.300000
1.159998,0.008856,0.300000
1.164998,0.008806,0.300000
1.169999,0.008772,0.300000
1.174999,0.008723,0.300000
1.179999,0.008690,0.300000
1.184999,0.008640,0.300000
1.190000,0.008605,0.300000
1.195000,0.008550,0.300000
1.200000,0.008513,0.300000
1.205000,0.008455,0.300000
1.210001,0.008415,0.300000
1.215001,0.008352,0.300000
1.220001,0.008308,0.300000
1.225001,0.008234,0.300000
1.230001,0.008178,0.300000
1.235002,0.008084,0.300000
1.240002,0.008015,0.300000
1.245002,0.007904,0.300000
1.250002,0.007825,0.300000
1.255003,0.007700,0.300000
1.260003,0.007611,0.300000
1.265003,0.007472,0.300000
1.270003,0.007375,0.300000
1.275004,0.007228,0.300000
1.280004,0.007130,0.300000
1.285004,0.006983,0.300000
1.290004,0.006885,0.300000
1.295004,0.006742,0.300000
