time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.754994,0.000027,0.000000,0.000728,0.000000
0.759994,0.000031,0.000000,0.000607,0.000000
0.764994,0.000033,0.000000,0.000476,0.000000
0.769994,0.000035,0.000000,0.000342,0.000000
0.774994,0.000036,0.000000,0.000209,0.000000
0.779994,0.000037,0.000000,0.000082,0.000000
0.784993,0.000037,0.000000,-0.000042,0.000000
0.789993,0.000037,0.000000,-0.000161,0.000000
0.794993,0.000035,0.000000,-0.000273,0.000000
0.799993,0.000034,0.000000,-0.000381,0.000000
0.804993,0.000032,0.000000,-0.000489,0.000000
0.809993,0.000029,0.000000,-0.000598,0.000000
0.814993,0.000025,0.000000,-0.000707,0.000000
0.819993,0.000022,0.000000,-0.000815,0.000000
0.824993,0.000017,0.000000,-0.000919,0.000000
0.829993,0.000012,0.000000,-0.001014,0.000000
0.834993,0.000007,0.000000,-0.001100,0.000000
0.839993,0.000001,0.000000,-0.001177,0.000000
0.844993,-0.000005,0.000000,-0.001245,0.000000
0.849993,-0.000011,0.000000,-0.001305,0.000000
0.854993,-0.000018,0.000000,-0.001358,0.000000
0.859993,-0.000025,0.000000,-0.001403,0.000000
0.864992,-0.000032,0.000000,-0.001441,0.000000
0.869992,-0.000039,0.000000,-0.001473,0.000000
0.874992,-0.000047,0.000000,-0.001500,0.000000
0.879992,-0.000054,0.000000,-0.001525,0.000000
0.884992,-0.000062,0.000000,-0.001551,0.000000
0.889992,-0.000070,0.000000,-0.001581,0.000000
0.894992,-0.000078,0.000000,-0.001615,0.000000
0.899992,-0.000086,0.000000,-0.001653,0.000000
0.904992,-0.000094,0.000000,-0.001695,0.000000
0.909992,-0.000103,0.000000,-0.001743,0.000000
0.914992,-0.000112,0.000000,-0.001799,0.000000
0.919992,-0.000121,0.000000,-0.001869,0.000000
0.924992,-0.000131,0.000000,-0.001954,0.000000
0.929992,-0.000141,0.000000,-0.002058,0.000000
0.934992,-0.000151,0.000000,-0.002185,0.000000
0.939991,-0.000163,0.000000,-0.002335,0.000000
0.944991,-0.000175,0.000000,-0.002506,0.000000
0.949991,-0.000188,0.000000,-0.002695,0.000000
0.954991,-0.000202,0.000000,-0.002892,0.000000
0.959991,-0.000217,0.000000,-0.003086,0.000000
0.964991,-0.000233,0.000000,-0.003273,0.000000
0.969991,-0.000250,0.000000,-0.003445,0.000000
0.974991,-0.000268,0.000000,-0.003595,0.000000
0.979991,-0.000286,0.000000,-0.003718,0.000000
0.984991,-0.000305,0.000000,-0.003812,0.000000
0.989991,-0.000324,0.000000,-0.003874,0.000000
0.994991,-0.000344,0.000000,-0.003904,0.000000
0.999991,-0.000363,0.000000,-0.003902,0.000000
1.004991,-0.000383,0.000000,-0.003871,0.000000
1.009991,-0.000402,0.000000,-0.003816,0.000000
1.014991,-0.000421,0.000000,-0.003744,0.000000
1.019992,-0.000439,0.000000,-0.003657,0.000000
1.024992,-0.000457,0.000000,-0.003560,0.000000
1.029992,-0.000475,0.000000,-0.003457,0.000000
1.034992,-0.000492,0.000000,-0.003350,0.000000
1.039993,-0.000508,0.000000,-0.003237,0.000000
1.044993,-0.000524,0.000000,-0.003116,0.000000
1.049993,-0.000539,0.000000,-0.002987,0.000000
1.054993,-0.000554,0.000000,-0.002847,0.000000
1.059994,-0.000567,0.000000,-0.002698,0.000000
1.064994,-0.000580,0.000000,-0.002541,0.000000
1.069994,-0.000593,0.000000,-0.002377,0.000000
1.074994,-0.000604,0.000000,-0.002204,0.000000
1.079994,-0.000615,0.000000,-0.002025,0.000000
1.084995,-0.000624,0.000000,-0.001843,0.000000
1.089995,-0.000633,0.000000,-0.001662,0.000000
1.094995,-0.000641,0.000000,-0.001481,0.000000
1.099995,-0.000647,0.000000,-0.001302,0.000000
1.104996,-0.000653,0.000000,-0.001117,0.000000
1.109996,-0.000658,0.000000,-0.000925,0.000000
1.114996,-0.000662,0.000000,-0.000722,0.000000
1.119996,-0.000665,0.000000,-0.000509,0.000000
1.124997,-0.000667,0.000000,-0.000285,0.000000
1.129997,-0.000668,0.000000,-0.000053,0.000000
1.134997,-0.000668,0.000000,0.000187,0.000000
1.139997,-0.000666,0.000000,0.000430,0.000000
1.144997,-0.000663,0.000000,0.000673,0.000000
1.149998,-0.000659,0.000000,0.000916,0.000000
1.154998,-0.000654,0.000000,0.001153,0.000000
1.159998,-0.000647,0.000000,0.001380,0.000000
1.164998,-0.000640,0.000000,0.001589,0.000000
1.169999,-0.000631,0.000000,0.001783,0.000000
1.174999,-0.000622,0.000000,0.001966,0.000000
1.179999,-0.000611,0.000000,0.002143,0.000000
1.184999,-0.000600,0.000000,0.002321,0.000000
1.190000,-0.000588,0.000000,0.002504,0.000000
1.195000,-0.000575,0.000000,0.002694,0.000000
1.200000,-0.000561,0.000000,0.002891,0.000000
1.205000,-0.000546,0.000000,0.003091,0.000000
1.210001,-0.000530,0.000000,0.003292,0.000000
1.215001,-0.000513,0.000000,0.003489,0.000000
1.220001,-0.000495,0.000000,0.003672,0.000000
1.225001,-0.000476,0.000000,0.003835,0.000000
1.230001,-0.000456,0.000000,0.003975,0.000000
1.235002,-0.000436,0.000000,0.004088,0.000000
1.240002,-0.000415,0.000000,0.004174,0.000000
1.245002,-0.000394,0.000000,0.004235,0.000000
1.250002,-0.000373,0.000000,0.004278,0.000000
1.255003,-0.000351,0.000000,0.004307,0.000000
1.260003,-0.000330,0.000000,0.004323,0.000000
1.265003,-0.000308,0.000000,0.004325,0.000000
1.270003,-0.000286,0.000000,0.004312,0.000000
1.275004,-0.000265,0.000000,0.004280,0.000000
1.280004,-0.000244,0.000000,0.004225,0.000000
1.285004,-0.000223,0.000000,0.004143,0.000000
1.290004,-0.000202,0.000000,0.004030,0.000000
1.295004,-0.000183,0.000000,0.003890,0.000000
1.300005,-0.000164,0.000000,0.003725,0.000000
1.305005,-0.000146,0.000000,0.003538,0.000000
1.310005,-0.000129,0.000000,0.003330,0.000000
1.315005,-0.000113,0.000000,0.003106,0.000000
1.320006,-0.000098,0.000000,0.002868,0.000000
1.325006,-0.000084,0.000000,0.002616,0.000000
1.330006,-0.000072,0.000000,0.002352,0.000000
1.335006,-0.000061,0.000000,0.002077,0.000000
1.340007,-0.000051,0.000000,0.001800,0.000000
1.345007,-0.000043,0.000000,0.001531,0.000000
1.350007,-0.000036,0.000000,0.001271,0.000000
1.355007,-0.000031,0.000000,0.001020,0.000000
1.360008,-0.000026,0.000000,0.000787,0.000000
1.365008,-0.000023,0.000000,0.000572,0.000000
1.370008,-0.000021,0.000000,0.000374,0.000000
1.375008,-0.000020,0.000000,0.000197,0.000000
1.380008,-0.000019,0.000000,0.000042,0.000000
1.385009,-0.000019,0.000000,-0.000091,0.000000
1.390009,-0.000020,0.000000,-0.000204,0.000000
1.395009,-0.000021,0.000000,-0.000300,0.000000
1.400009,-0.000023,0.000000,-0.000379,0.000000
1.405010,-0.000025,0.000000,-0.000442,0.000000
1.410010,-0.000028,0.000000,-0.000490,0.000000
1.415010,-0.000030,0.000000,-0.000528,0.000000
1.420010,-0.000033,0.000000,-0.000555,0.000000
1.425011,-0.000036,0.000000,-0.000576,0.000000
1.430011,-0.000039,0.000000,-0.000588,0.000000
1.435011,-0.000042,0.000000,-0.000590,0.000000
1.440011,-0.000044,0.000000,-0.000578,0.000000
1.445011,-0.000047,0.000000,-0.000550,0.000000
1.450012,-0.000050,0.000000,-0.000505,0.000000
1.455012,-0.000052,0.000000,-0.000442,0.000000
1.460012,-0.000054,0.000000,-0.000359,0.000000
1.465012,-0.000056,0.000000,-0.000257,0.000000
1.470013,-0.000057,0.000000,-0.000134,0.000000
1.475013,-0.000057,0.000000,0.000005,0.000000
1.480013,-0.000056,0.000000,0.000159,0.000000
1.485013,-0.000055,0.000000,0.000326,0.000000
1.490014,-0.000053,0.000000,0.000501,0.000000
1.495014,-0.000050,0.000000,0.000675,0.000000
1.500014,-0.000046,0.000000,0.000842,0.000000
1.505014,-0.000041,0.000000,0.000997,0.000000
1.510015,-0.000036,0.000000,0.001135,0.000000
1.515015,-0.000030,0.000000,0.001253,0.000000
1.520015,-0.000023,0.000000,0.001354,0.000000
1.525015,-0.000016,0.000000,0.001439,0.000000
1.530015,-0.000009,0.000000,0.001515,0.000000
1.535016,-0.000001,0.000000,0.001586,0.000000
1.540016,0.000007,0.000000,0.001659,0.000000
1.545016,0.000016,0.000000,0.001735,0.000000
1.550016,0.000024,0.000000,0.001811,0.000000
1.555017,0.000034,0.000000,0.001884,0.000000
1.560017,0.000043,0.000000,0.001950,0.000000
1.565017,0.000053,0.000000,0.002006,0.000000
1.570017,0.000063,0.000000,0.002053,0.000000
1.575018,0.000074,0.000000,0.002090,0.000000
1.580018,0.000084,0.000000,0.002115,0.000000
1.585018,0.000095,0.000000,0.002127,0.000000
1.590018,0.000106,0.000000,0.002129,0.000000
1.595019,0.000116,0.000000,0.002120,0.000000
1.600019,0.000127,0.000000,0.002098,0.000000
1.605019,0.000137,0.000000,0.002060,0.000000
1.610019,0.000147,0.000000,0.002004,0.000000
1.615019,0.000157,0.000000,0.001929,0.000000
1.620020,0.000167,0.000000,0.001838,0.000000
1.625020,0.000175,0.000000,0.001737,0.000000
1.630020,0.000184,0.000000,0.001631,0.000000
1.635020,0.000192,0.000000,0.001531,0.000000
1.640021,0.000199,0.000000,0.001438,0.000000
1.645021,0.000206,0.000000,0.001353,0.000000
1.650021,0.000212,0.000000,0.001274,0.000000
1.655021,0.000219,0.000000,0.001201,0.000000
1.660022,0.000224,0.000000,0.001134,0.000000
1.665022,0.000230,0.000000,0.001069,0.000000
1.670022,0.000235,0.000000,0.001006,0.000000
1.675022,0.000240,0.000000,0.000945,0.000000
1.680022,0.000244,0.000000,0.000884,0.000000
1.685023,0.000249,0.000000,0.000824,0.000000
